,Miller,Fc^2,Fo^2,Fo^2_sigma,ZOBS,asu,resolution,fcf_IOBS/SIGMA,Diff,,,,
279,"(5, -1, 3)",40.32,57.23,9.65,450.6,"(1, 5, 3)",1.965659766,5.930569948,1.752331606,,,,
280,"(1, -3, 5)",40.32,-10.63,10.63,379.6,"(1, 5, 3)",1.965659766,-1,-4.79303857,,,,
281,"(1, 3, -5)",40.32,15.81,7.41,384.1,"(1, 5, 3)",1.965659766,2.133603239,-3.307692308,,,,
282,"(-5, 3, -2)",38.38,82.4,9.44,240,"(2, 5, 3)",1.886472906,8.728813559,4.663135593,,,,
283,"(-2, 5, -3)",38.38,68.28,6.72,111.4,"(2, 5, 3)",1.886472906,10.16071429,4.449404762,,,,
284,"(-3, 2, -5)",38.38,39.95,8.55,470.7,"(2, 5, 3)",1.886472906,4.67251462,0.183625731,,,,
285,"(-5, 2, -3)",38.38,50.95,9.39,373.2,"(2, 5, 3)",1.886472906,5.425985091,1.338658147,,,,
286,"(-3, 5, -2)",38.38,8.08,6.57,75.5,"(2, 5, 3)",1.886472906,1.229832572,-4.611872146,,,,
287,"(-2, 3, -5)",38.38,39.35,8.64,385.8,"(2, 5, 3)",1.886472906,4.554398148,0.112268519,,,,
288,"(-2, -3, 5)",38.38,18.47,9.09,370.5,"(2, 5, 3)",1.886472906,2.03190319,-2.190319032,,,,
289,"(5, -3, 2)",38.38,61.03,9.56,231.1,"(2, 5, 3)",1.886472906,6.383891213,2.369246862,,,,
290,"(2, -5, 3)",38.38,29.71,7.86,104.7,"(2, 5, 3)",1.886472906,3.779898219,-1.103053435,,,,
291,"(3, -2, 5)",38.38,58.32,10.12,460.2,"(2, 5, 3)",1.886472906,5.76284585,1.970355731,,,,
292,"(5, -2, 3)",38.38,16.92,11.15,366.1,"(2, 5, 3)",1.886472906,1.517488789,-1.924663677,,,,
293,"(3, -5, 2)",38.38,9.65,8.14,64,"(2, 5, 3)",1.886472906,1.185503686,-3.529484029,,,,
294,"(2, -3, 5)",38.38,19.71,11.11,380.2,"(2, 5, 3)",1.886472906,1.774077408,-1.680468047,,,,
295,"(2, 3, -5)",38.38,24.54,7.17,388.9,"(2, 5, 3)",1.886472906,3.422594142,-1.930264993,,,,
296,"(-5, 3, -3)",13.9,43.74,13.39,298.7,"(3, 5, 3)",1.773405874,3.266616878,2.228528753,,,,
297,"(-3, 5, -3)",13.9,6.92,6.84,138.5,"(3, 5, 3)",1.773405874,1.011695906,-1.020467836,,,,
298,"(-3, 3, -5)",13.9,35.4,9.23,386.2,"(3, 5, 3)",1.773405874,3.83531961,2.32936078,,,,
299,"(-3, -3, 5)",13.9,34.06,8.81,376.1,"(3, 5, 3)",1.773405874,3.866061294,2.28830874,,,,
300,"(5, -3, 3)",13.9,109.14,14.38,291.7,"(3, 5, 3)",1.773405874,7.589707928,6.623087622,,,,
301,"(3, -5, 3)",13.9,-8.47,8.47,138.8,"(3, 5, 3)",1.773405874,-1,-2.641086187,,,,
302,"(3, -3, 5)",13.9,-2.13,11.59,378.8,"(3, 5, 3)",1.773405874,-0.18377912,-1.38308887,,,,
303,"(3, 3, -5)",13.9,-2.01,6.88,379.4,"(3, 5, 3)",1.773405874,-0.292151163,-2.3125,,,,
304,"(-5, 4, 0)",69.17,87.79,6.56,41.7,"(0, 5, 4)",1.816144677,13.38262195,2.838414634,,,,
305,"(5, -4, 0)",69.17,66.54,9.22,33.2,"(0, 5, 4)",1.816144677,7.21691974,-0.285249458,,,,
306,"(0, -5, 4)",69.17,89.77,8.01,115.1,"(0, 5, 4)",1.816144677,11.20724095,2.571785268,,,,
307,"(0, 5, -4)",69.17,65.76,6.36,127.2,"(0, 5, 4)",1.816144677,10.33962264,-0.536163522,,,,
308,"(-5, 0, -4)",69.17,78.37,7.34,584.4,"(0, 5, 4)",1.816144677,10.67711172,1.253405995,,,,
309,"(5, 0, 4)",69.17,100.68,8.82,576.3,"(0, 5, 4)",1.816144677,11.41496599,3.572562358,,,,
310,"(0, -4, 5)",69.17,51.56,12.56,273.2,"(0, 5, 4)",1.816144677,4.105095541,-1.402070064,,,,
311,"(0, 4, -5)",69.17,88.13,9.37,285.8,"(0, 5, 4)",1.816144677,9.405549626,2.023479189,,,,
312,"(-5, 4, -1)",144.02,151.5,7.71,113,"(1, 5, 4)",1.794393657,19.64980545,0.970168612,,,,
313,"(-1, 5, -4)",144.02,174.42,7.59,156.1,"(1, 5, 4)",1.794393657,22.98023715,4.005270092,,,,
314,"(-4, 1, -5)",144.02,174.55,8.76,545,"(1, 5, 4)",1.794393657,19.92579909,3.485159817,,,,
315,"(-1, -5, 4)",144.02,153.68,8.19,76.7,"(1, 5, 4)",1.794393657,18.76434676,1.179487179,,,,
316,"(-5, 1, -4)",144.02,118.89,9.02,498.2,"(1, 5, 4)",1.794393657,13.18070953,-2.786031042,,,,
317,"(-4, 5, -1)",144.02,226.05,8.03,34.5,"(1, 5, 4)",1.794393657,28.15068493,10.21544209,,,,
318,"(-1, 4, -5)",144.02,141.06,10.98,296.5,"(1, 5, 4)",1.794393657,12.84699454,-0.269581056,,,,
319,"(-1, -4, 5)",144.02,97.81,11.94,254.6,"(1, 5, 4)",1.794393657,8.191792295,-3.870184255,,,,
320,"(5, -4, 1)",144.02,137.51,9.59,104.3,"(1, 5, 4)",1.794393657,14.33889468,-0.678832117,,,,
321,"(1, -5, 4)",144.02,147.47,9.36,146.4,"(1, 5, 4)",1.794393657,15.75534188,0.368589744,,,,
322,"(4, -1, 5)",144.02,176.12,9.5,536.1,"(1, 5, 4)",1.794393657,18.53894737,3.378947368,,,,
323,"(1, 5, -4)",144.02,140.85,6.76,89.4,"(1, 5, 4)",1.794393657,20.83579882,-0.468934911,,,,
324,"(5, -1, 4)",144.02,120.32,10.63,489.9,"(1, 5, 4)",1.794393657,11.31890875,-2.22953904,,,,
325,"(4, -5, 1)",144.02,142.97,9.84,26.8,"(1, 5, 4)",1.794393657,14.52947154,-0.106707317,,,,
326,"(1, -4, 5)",144.02,129.87,14.04,286.4,"(1, 5, 4)",1.794393657,9.25,-1.007834758,,,,
327,"(1, 4, -5)",144.02,196.65,9.39,269.2,"(1, 5, 4)",1.794393657,20.94249201,5.604898829,,,,
328,"(-5, 4, -2)",4.55,15.93,8.01,176.2,"(2, 5, 4)",1.733548967,1.988764045,1.420724095,,,,
329,"(-2, 5, -4)",4.55,-0.48,7.18,184.5,"(2, 5, 4)",1.733548967,-0.066852368,-0.700557103,,,,
330,"(-4, 2, -5)",4.55,28.63,9.09,461.9,"(2, 5, 4)",1.733548967,3.149614961,2.649064906,,,,
331,"(-2, -5, 4)",4.55,23.16,7.56,44.2,"(2, 5, 4)",1.733548967,3.063492063,2.461640212,,,,
332,"(-5, 2, -4)",4.55,6.3,9.39,414.9,"(2, 5, 4)",1.733548967,0.670926518,0.186368477,,,,
333,"(-4, 5, -2)",4.55,8.48,6.98,103.4,"(2, 5, 4)",1.733548967,1.214899713,0.563037249,,,,
334,"(-2, 4, -5)",4.55,-9.26,9.26,309.8,"(2, 5, 4)",1.733548967,-1,-1.491360691,,,,
335,"(-2, -4, 5)",4.55,56.65,10.64,233.2,"(2, 5, 4)",1.733548967,5.32424812,4.896616541,,,,
336,"(5, -4, 2)",4.55,8.29,9.66,173.9,"(2, 5, 4)",1.733548967,0.858178054,0.387163561,,,,
337,"(2, -5, 4)",4.55,-10.55,10.55,168.2,"(2, 5, 4)",1.733548967,-1,-1.431279621,,,,
338,"(4, -2, 5)",4.55,-4.56,11.13,455,"(2, 5, 4)",1.733548967,-0.409703504,-0.818508535,,,,
339,"(2, 5, -4)",4.55,-5.93,5.93,42.2,"(2, 5, 4)",1.733548967,-1,-1.767284992,,,,
340,"(5, -2, 4)",4.55,7.27,11.87,0,"(2, 5, 4)",1.733548967,0.612468408,0.229149115,,,,
341,"(4, -5, 2)",4.55,-6.98,9.16,100.7,"(2, 5, 4)",1.733548967,-0.762008734,-1.258733624,,,,
342,"(2, -4, 5)",4.55,21.42,13.52,303,"(2, 5, 4)",1.733548967,1.584319527,1.247781065,,,,
343,"(2, 4, -5)",4.55,64.53,7.36,246.2,"(2, 5, 4)",1.733548967,8.767663043,8.149456522,,,,
344,"(-5, 4, -3)",3.95,-7.68,9.76,228.7,"(3, 5, 4)",1.644588952,-0.786885246,-1.191598361,,,,
345,"(-3, 5, -4)",3.95,30.99,8.38,200.2,"(3, 5, 4)",1.644588952,3.698090692,3.22673031,,,,
346,"(-4, 3, -5)",3.95,4.76,9.85,393.5,"(3, 5, 4)",1.644588952,0.483248731,0.082233503,,,,
347,"(-4, -3, 5)",3.95,-8.31,8.31,375.2,"(3, 5, 4)",1.644588952,-1,-1.475330927,,,,
348,"(-5, 3, -4)",3.95,18.89,10.2,345.2,"(3, 5, 4)",1.644588952,1.851960784,1.464705882,,,,
349,"(-4, 5, -3)",3.95,2.25,7.65,164,"(3, 5, 4)",1.644588952,0.294117647,-0.222222222,,,,
350,"(-3, 4, -5)",3.95,33.61,9.39,318,"(3, 5, 4)",1.644588952,3.579339723,3.158679446,,,,
351,"(-3, -4, 5)",3.95,7.86,9.45,198.2,"(3, 5, 4)",1.644588952,0.831746032,0.413756614,,,,
352,"(5, -4, 3)",3.95,-7.16,10.97,227.4,"(3, 5, 4)",1.644588952,-0.652689152,-1.012762078,,,,
353,"(3, -5, 4)",3.95,20.63,11.19,194.7,"(3, 5, 4)",1.644588952,1.843610366,1.490616622,,,,
354,"(4, -3, 5)",3.95,39.35,12.74,381.7,"(3, 5, 4)",1.644588952,3.088697017,2.778649922,,,,
355,"(4, 3, -5)",3.95,16.45,6.95,390,"(3, 5, 4)",1.644588952,2.366906475,1.798561151,,,,
356,"(5, -3, 4)",3.95,-1.98,13.29,344.6,"(3, 5, 4)",1.644588952,-0.148984199,-0.44620015,,,,
357,"(4, -5, 3)",3.95,28.32,9.71,153.3,"(3, 5, 4)",1.644588952,2.916580844,2.509783728,,,,
358,"(3, -4, 5)",3.95,-7.04,12.73,313.6,"(3, 5, 4)",1.644588952,-0.553024352,-0.863315004,,,,
